Station;Temperature mini;Temperature maxi;Temperature mini moy.;Temperature maxi moy.;Temperature moy.;Precipitations;Ensoleillement;
01 - Ambérieu;-1.7;15.7;4.6;10.5;7.6;177.6;53h00
02 - Saint-Quentin Roupy;-0.2;13.2;3.7;8.4;6.1;94.8;22h00
03 - Vichy Charmeil;-1.6;16.4;4.4;11.1;7.8;98.7;38h00
04 - St-Auban-sur-Durance Château-Arnoux;-2.3;17.3;3.3;12.5;7.9;57.2;136h00
05 - Embrun;-4.4;14.2;0.2;8.8;4.5;83.2;139h00
06 - Cannes Mandelieu;2.3;22.9;7.7;15.8;11.8;66.3;18h00
06 - Nice Côte D'Azur;5.1;20.3;8.2;14.8;11.5;53.5;46h00
07 - Aubenas  Lanas;-0.7;18.1;4.2;12.2;8.2;154.1;-
08 - Charleville Mézières;-1.0;13.2;3.1;8.2;5.7;164.0;24h00
09 - Saint-Girons Antichan;-3.1;18.0;3.2;12.3;7.8;109.7;108h00
10 - Troyes Barberey;0.1;14.9;4.8;10.0;7.4;146.6;31h00
11 - Carcassonne Salvaza;-1.3;19.0;6.5;12.6;9.6;91.3;81h00
11 - Leucate-Plage;2.8;20.3;8.6;14.2;11.4;37.0;-
12 - Millau;-1.1;12.8;3.5;8.0;5.8;98.8;40h00
12 - Rodez Marcillac;-3.1;13.4;3.8;8.7;6.3;196.7;34h00
13 - Istres Le Tube (base aérienne);1.0;19.8;6.5;14.9;10.7;62.9;-
13 - Marseille Marignane (Provence);0.4;19.3;6.9;15.0;11.0;85.3;150h00
13 - Salon-de-Provence;-2.3;20.3;4.6;14.8;9.7;105.5;-
14 - Caen Carpiquet;-0.2;14.7;5.1;10.2;7.7;94.9;60h00
14 - Deauville Saint-Gatien;-0.6;13.4;4.6;9.4;7.0;134.7;-
15 - Aurillac;-2.6;13.3;3.3;8.8;6.1;197.6;52h00
16 - Cognac Châteaubernard;-0.1;14.9;6.5;11.7;9.1;147.0;44h00
17 - Chassiron (pointe);3.8;13.8;8.6;11.6;10.1;129.5;-
17 - La Rochelle aérodrome;1.8;13.7;7.3;11.3;9.3;129.4;60h00
18 - Avord;-1.9;14.5;5.2;10.1;7.7;133.2;-
18 - Bourges;-1.0;14.4;5.4;10.3;7.9;147.4;33h00
19 - Brive la Gaillarde la Roche;-1.0;17.7;5.8;11.7;8.8;148.5;33h00
20 - Ajaccio Campo Dell Oro;3.3;22.0;7.8;16.2;12.0;43.7;123h00
20 - Alistro Bravonne;6.9;22.0;9.8;16.5;13.2;17.8;-
20 - Bastia Poretta;4.0;21.7;7.4;15.9;11.7;18.6;138h00
20 - Calvi Ste Catherine;2.5;21.4;8.1;16.5;12.3;10.9;124h00
20 - Cap Corse;7.5;17.6;10.8;14.9;12.9;3.8;-
20 - Cap Pertusato;6.9;17.3;10.5;14.7;12.6;46.4;-
20 - Figari Sud Corsica;-0.4;20.3;8.3;16.3;12.3;64.0;133h00
20 - L'Île-Rousse;8.0;20.6;10.8;15.5;13.2;9.2;-
20 - Solenzara (base aérienne);4.0;21.8;8.8;16.4;12.6;11.7;145h00
21 - Dijon Longvic;-2.4;14.3;3.9;9.7;6.8;125.7;42h00
22 - Lannion Servel;-0.4;14.7;5.8;10.9;8.4;94.6;-
22 - Ploumanac'h Perros Guirec;3.9;14.6;6.8;11.2;9.0;85.4;-
22 - Saint-Brieuc Armor;0.9;14.3;5.7;10.7;8.2;86.0;54h00
23 - Guéret St Laurent;-2.6;15.1;4.1;10.1;7.1;159.8;41h00
24 - Bergerac Roumanier;-1.1;16.4;6.0;12.0;9.0;102.6;38h00
25 - Besançon Thise;-2.0;14.7;4.3;9.9;7.1;213.2;39h00
26 - Montélimar Ancône;-0.1;18.1;5.1;12.0;8.6;124.1;79h00
27 - Evreux Fauville;-2.2;14.2;4.3;9.7;7.0;92.6;-
28 - Chartres Champol;-1.3;14.0;5.1;9.6;7.4;89.1;30h00
28 - Chateaudun;-1.2;14.5;4.6;9.8;7.2;62.4;24h00
29 - Brest Guipavas;-1.7;13.8;5.8;11.0;8.4;157.1;55h00
29 - Brignogan;2.6;14.9;7.3;11.8;9.6;117.6;-
29 - Ouessant;5.1;13.9;7.8;11.5;9.7;103.8;-
29 - Quimper Pluguffan;-0.3;13.7;5.8;11.1;8.5;98.7;59h00
30 - Mont Aigoual;-4.2;7.0;-1.1;2.4;0.7;300.6;-
30 - Nimes Courbessac;1.2;19.3;6.1;14.8;10.5;162.5;113h00
30 - Nimes Garons;1.5;19.9;6.1;14.5;10.3;150.6;-
31 - Muret Lherm;-1.2;18.5;5.4;12.1;8.8;103.5;-
31 - Toulouse  Blagnac;-0.9;17.4;6.2;12.0;9.1;85.7;54h00
32 - Auch Lamothe;-1.7;17.6;5.8;12.1;9.0;70.5;59h00
33 - Bordeaux Mérignac;-0.3;16.9;6.9;12.0;9.5;121.8;34h00
33 - Cap Ferret;1.0;15.6;8.1;12.2;10.2;115.6;-
34 - Béziers Vias;-0.3;19.9;7.1;14.5;10.8;90.3;-
34 - Montpellier Frejorgues Mediterranee;-0.5;20.7;7.4;14.8;11.1;201.9;120h00
34 - Sète;4.7;19.3;8.6;13.8;11.2;113.7;-
35 - Dinard Pleurtuit;1.7;15.0;5.8;10.9;8.4;82.2;54h00
35 - Rennes Saint-Jacques;0.0;15.5;5.7;11.2;8.5;51.8;46h00
36 - Châteauroux Deols;-0.2;15.3;5.3;10.4;7.9;160.9;27h00
37 - Tours St Symphorien;0.5;14.4;5.9;10.6;8.3;98.3;31h00
38 - Grenoble Le Versoud;-1.7;15.9;2.4;10.1;6.3;154.9;-
38 - Grenoble St Geoirs;-4.1;16.1;2.6;9.3;6.0;122.8;61h00
39 - Dole Tavaux;-0.9;14.1;4.4;9.9;7.2;136.1;42h00
