Station;Temperature mini;Temperature maxi;Temperature moy.;Precipitations;Ensoleillement;
01 - Ambérieu;12.3;17.4;14.5;0.0;6h18
02 - Saint-Quentin Roupy;10.4;13.8;12.0;7.2;0h00
03 - Vichy Charmeil;12.1;18.7;15.0;0.0;7h12
04 - St-Auban-sur-Durance Château-Arnoux;3.9;16.4;10.0;0.0;5h00
05 - Embrun;5.9;11.6;8.5;0.0;-
06 - Cannes Mandelieu;10.0;17.1;13.5;0.0;-
06 - Nice Côte D'Azur;10.9;15.7;13.0;0.0;0h18
07 - Aubenas  Lanas;7.7;13.9;10.5;0.0;-
08 - Charleville Mézières;9.8;14.4;12.0;9.2;0h00
09 - Saint-Girons Antichan;6.1;19.5;12.5;0.0;0h24
10 - Troyes Barberey;9.6;15.0;12.0;0.0;0h00
11 - Carcassonne Salvaza;13.1;14.9;14.0;0.0;0h00
11 - Leucate-Plage;11.1;15.2;13.0;0.0;-
12 - Millau;9.3;12.2;10.5;0.0;0h12
12 - Rodez Marcillac;9.9;14.6;12.0;0.0;2h18
13 - Istres Le Tube (base aérienne);13.0;17.4;15.0;0.0*;-
13 - Marseille Marignane (Provence);13.1;18.2;15.5;0.0;3h12
13 - Salon-de-Provence;8.2;18.3;13.0;0.0;-
14 - Caen Carpiquet;10.4;13.0;11.5;4.6;0h00
14 - Deauville Saint-Gatien;-;12.8;-;5.8;-
15 - Aurillac;8.7;14.6;11.5;0.0;5h12
16 - Cognac Châteaubernard;10.1;18.0;14.0;3.2;0h06
17 - Chassiron (pointe);11.7;15.5;13.5;13.7;-
17 - La Rochelle aérodrome;11.6;15.9;13.5;14.3;0h00
18 - Avord;9.8;17.1;13.0;0.0;-
18 - Bourges;9.0;17.1;13.0;0.1;0h42
19 - Brive la Gaillarde la Roche;6.0;18.6;12.0;0.1;2h06
19 - Brive la Gaillarde Souillac vallée Dordogne;10.9;17.4;14.0;0.1;-
20 - Ajaccio Campo Dell Oro;8.2;17.8;13.0;0.0;7h18
20 - Alistro Bravonne;10.0;17.7;13.5;0.0;-
