Station;Temperature mini;Temperature maxi;Temperature mini moy.;Temperature maxi moy.;Temperature moy.;Precipitations;Ensoleillement;
01 - Ambérieu;-0.6;29.1;8.0;21.0;14.5;36.3;203h00
02 - Saint-Quentin Roupy;2.3;26.9;7.4;17.9;12.7;41.4;184h00
03 - Vichy Charmeil;-0.6;27.9;6.8;20.0;13.4;63.1;180h00
04 - St-Auban-sur-Durance Château-Arnoux;1.4;28.2;7.7;21.1;14.4;72.8;224h00
05 - Embrun;-1.5;26.1;7.1;19.3;13.2;41.9;210h00
06 - Cannes Mandelieu;4.9;25.7;10.5;19.9;15.2;134.7;-
06 - Nice Côte D'Azur;7.2;25.7;12.6;18.3;15.5;114.5;197h00
07 - Aubenas  Lanas;3.4;28.2;8.1;20.6;14.4;126.1;-
08 - Charleville Mézières;-1.1;27.7;5.0;19.1;12.1;64.7;200h00
09 - Saint-Girons Antichan;-1.1;26.8;6.6;19.1;12.9;94.4;172h00
10 - Troyes Barberey;-2.0;29.2;6.6;19.6;13.1;28.1;203h00
11 - Carcassonne Salvaza;4.7;27.2;9.5;19.6;14.6;78.1;180h00
11 - Leucate-Plage;7.2;23.6;11.6;17.9;14.8;106.0;-
12 - Millau;0.9;23.9;7.0;16.3;11.7;68.4;181h00
12 - Rodez Marcillac;0.5;25.0;6.1;17.5;11.8;50.9;189h00
13 - Istres Le Tube (base aérienne);4.1;27.7;10.6;21.5;16.1;108.8;-
13 - Marseille Marignane (Provence);5.6;26.8;11.1;21.4;16.3;74.0;246h00
13 - Salon-de-Provence;2.4;28.2;8.8;22.0;15.4;77.1;-
14 - Caen Carpiquet;2.5;26.6;6.9;16.7;11.8;108.5;158h00
14 - Deauville Saint-Gatien;3.8;26.7;8.2;16.5;12.4;111.9;-
15 - Aurillac;1.2;25.0;6.4;17.5;12.0;54.1;177h00
16 - Cognac Châteaubernard;3.4;28.8;9.2;19.7;14.5;58.5;173h00
17 - Chassiron (pointe);7.4;23.5;11.0;15.9;13.5;48.9;-
17 - La Rochelle aérodrome;5.3;26.8;9.8;17.1;13.5;58.0;191h00
18 - Avord;3.4;28.2;7.8;19.0;13.4;74.2;-
18 - Bourges;3.4;28.4;8.0;19.2;13.6;58.8;174h00
19 - Brive la Gaillarde la Roche;2.0;29.4;8.3;21.0;14.7;86.7;186h00
20 - Ajaccio Campo Dell Oro;3.7;24.1;10.0;20.3;15.2;33.2;163h00
20 - Alistro Bravonne;6.8;26.4;12.9;21.2;17.1;42.2;-
20 - Bastia Poretta;6.0;25.4;10.8;20.0;15.4;47.0;73h00
20 - Calvi Ste Catherine;4.6;26.7;10.1;21.4;15.8;33.9;267h00
20 - Cap Corse;9.4;25.2;13.5;19.7;16.6;36.6;-
20 - Cap Pertusato;9.0;24.4;12.9;19.5;16.2;34.2;-
20 - Figari Sud Corsica;1.2;26.6;8.5;22.0;15.3;28.8;-
20 - L'Île-Rousse;9.6;23.7;13.3;19.5;16.4;22.0;-
20 - Solenzara (base aérienne);7.6;24.2;12.1;20.3;16.2;38.5;259h00
21 - Dijon Longvic;-0.1;27.0;6.6;18.9;12.8;36.8;163h00
22 - Lannion Servel;2.8;27.6;7.3;15.5;11.4;34.6;-
22 - Ploumanac'h Perros Guirec;4.5;26.9;8.5;15.1;11.8;55.2;-
22 - Saint-Brieuc Armor;2.7;26.6;7.7;15.7;11.7;57.8;160h00
23 - Guéret St Laurent;-1.1;26.7;6.1;18.5;12.3;91.2;157h00
24 - Bergerac Roumanier;0.2;28.8;7.7;20.4;14.1;67.1;178h00
25 - Besançon Thise;0.8;27.6;8.0;19.7;13.9;54.5;183h00
26 - Montélimar Ancône;3.3;28.9;9.7;21.2;15.5;101.4;200h00
27 - Evreux Fauville;1.8;27.6;7.5;17.7;12.6;61.6;-
28 - Chartres Champol;3.8;27.6;7.8;18.1;13.0;43.4;170h00
28 - Chateaudun;2.0;28.0;6.9;18.7;12.8;50.8;166h00
29 - Brest Guipavas;1.5;24.0;6.8;14.6;10.7;52.1;147h00
29 - Brignogan;3.8;15.2;7.8;13.8;10.8;17.9;-
29 - Ouessant;4.6;22.4;8.7;14.0;11.4;52.6;-
29 - Quimper Pluguffan;0.6;26.2;7.7;15.8;11.8;50.4;163h00
30 - Mont Aigoual;-5.2;16.3;3.0;8.7;5.9;309.3;-
30 - Nimes Courbessac;2.8;29.0;9.8;21.9;15.9;98.7;206h00
30 - Nimes Garons;5.1;27.6;10.0;21.1;15.6;88.0;-
31 - Muret Lherm;1.1;25.9;8.3;19.3;13.8;85.8;-
31 - Toulouse  Blagnac;2.9;26.5;9.7;19.3;14.5;83.4;188h00
32 - Auch Lamothe;1.5;27.1;7.9;19.9;13.9;87.0;193h00
33 - Bordeaux Mérignac;3.3;28.0;9.8;19.5;14.7;77.6;162h00
33 - Cap Ferret;6.7;29.8;11.0;18.9;15.0;86.1;-
34 - Béziers Vias;5.8;25.2;9.8;19.8;14.8;112.7;-
34 - Montpellier Frejorgues Mediterranee;5.2;27.5;9.9;19.5;14.7;76.8;189h00
34 - Sète;7.3;26.1;12.2;18.7;15.5;78.8;-
35 - Dinard Pleurtuit;2.3;27.1;7.8;16.5;12.2;63.6;170h00
35 - Rennes Saint-Jacques;0.6;27.7;7.5;17.8;12.7;41.9;172h00
36 - Châteauroux Deols;1.2;27.5;7.2;18.9;13.1;71.8;170h00
37 - Tours St Symphorien;3.9;28.2;8.4;18.8;13.6;51.7;175h00
38 - Grenoble Le Versoud;1.1;30.5;8.4;23.1;15.8;26.1;-
38 - Grenoble St Geoirs;0.3;26.8;6.6;20.0;13.3;22.0;207h00
39 - Dole Tavaux;0.2;28.4;7.4;20.2;13.8;44.1;187h00
40 - Biscarosse Parentis;5.9;29.5;10.9;18.7;14.8;82.1;179h00
40 - Dax Seyresse;3.6;29.2;9.6;20.2;14.9;96.6;153h00
40 - Mont-De-Marsan (base aérienne);0.7;28.8;8.7;20.2;14.5;48.8;156h00
41 - Blois Le Breuil;2.4;28.0;7.7;18.8;13.3;52.2;168h00
41 - Romorantin Pruniers-en-Sologne;1.0;29.2;6.1;18.8;12.5;35.5;-
42 - Saint Etienne Boutheon;-0.6;28.1;6.4;20.0;13.2;26.5;206h00
43 - Le Puy Loudes;-1.6;24.3;4.5;16.5;10.5;64.4;193h00
44 - Saint-Nazaire Montoir;2.0;26.5;8.6;16.8;12.7;40.2;-
45 - Orleans Bricy;3.9;27.9;8.0;18.6;13.3;66.6;167h00
46 - Gourdon;0.7;27.9;8.7;19.8;14.3;104.8;163h00
47 - Agen La Garenne;4.0;27.9;9.0;20.3;14.7;84.8;178h00
48 - Mende Brenoux;-1.5;23.2;4.9;15.9;10.4;90.1;183h00
49 - Angers Beaucouzé;2.4;28.3;8.5;18.3;13.4;80.8;157h00
50 - Cherbourg Maupertus;3.2;23.1;7.7;14.4;11.1;54.1;140h00
50 - La Hague (cap);6.2;20.6;8.9;13.3;11.1;39.7;-
51 - Châlons en Champagne Vatry;2.7;27.6;7.7;18.5;13.1;47.1;-
51 - Reims / Prunay;-0.2;27.7;6.0;19.3;12.7;30.6;206h00
52 - Langres;0.4;26.3;8.0;17.9;13.0;60.4;199h00
52 - Saint-Dizier Robinson;2.3;29.0;7.9;19.9;13.9;44.6;193h00
53 - Laval Entrammes;3.8;27.3;8.0;17.4;12.7;64.0;167h00
54 - Nancy Essey;0.4;27.7;6.9;19.4;13.2;39.2;202h00
54 - Nancy Ochey;1.5;27.3;7.6;18.8;13.2;44.9;-
56 - Belle Ile Le Talut;6.5;20.5;9.9;14.4;12.2;27.0;-
56 - Ile de Groix - Beg Melen;5.5;24.2;9.7;15.6;12.7;23.2;-
56 - Lorient Lann Bihoue;-0.1;25.0;7.8;16.0;11.9;38.0;194h00
57 - Metz-Nancy-Lorraine;2.2;28.0;7.9;19.2;13.6;49.3;211h00
58 - Nevers Fourchambault;1.2;28.8;7.0;19.3;13.2;69.1;179h00
59 - Dunkerque;4.1;24.2;8.8;15.5;12.2;56.8;-
59 - Lille Lesquin;2.2;27.3;8.2;18.0;13.1;47.9;166h00
60 - Beauvais Tillé;1.2;26.6;6.5;17.9;12.2;57.5;170h00
60 - Creil (base aérienne);2.0;28.0;7.7;18.7;13.2;54.0;182h00
61 - Alençon Valframbert;2.5;27.5;7.2;17.4;12.3;61.2;167h00
62 - Boulogne sur mer;4.7;24.3;8.7;15.0;11.9;78.8;-
62 - Le Touquet / Côte d'Opale;3.2;24.9;8.1;16.3;12.2;57.9;181h00
63 - Clermont Ferrand Aulnat;2.7;27.6;7.8;19.4;13.6;32.3;193h00
64 - Biarritz Anglet;5.4;29.3;10.8;19.1;15.0;130.5;142h00
