Station;Temperature mini;Temperature maxi;Temperature moy.;Precipitations;Ensoleillement;
01 - Ambérieu;10.6;22.9;16.5;1.4;1h06
02 - Saint-Quentin Roupy;15.0;21.3;18.0;2.4;3h24
03 - Vichy Charmeil;13.9;25.0;19.0;2.2;3h24
04 - St-Auban-sur-Durance Château-Arnoux;14.3;28.3;21.0;0.0;9h54
05 - Embrun;10.5;24.1;17.0;0.0;-
06 - Cannes Mandelieu;18.7;28.2;23.0;0.0;-
06 - Nice Côte D'Azur;19.5;26.5;23.0;0.0;13h24
07 - Aubenas  Lanas;14.1;27.4;20.5;0.0;-
08 - Charleville Mézières;12.6;21.4;17.0;1.8;1h42
09 - Saint-Girons Antichan;13.8;23.1;18.0;0.0;1h12
10 - Troyes Barberey;15.1;25.5;20.0;0.8;3h24
11 - Carcassonne Salvaza;15.5;24.4;19.5;0.8;0h48
11 - Leucate-Plage;18.3;29.6;23.5;0.0;-
12 - Millau;11.7;19.9;15.5;1.2;2h24
12 - Rodez Marcillac;12.4;19.9;16.0;10.0;0h42
13 - Istres Le Tube (base aérienne);17.3;30.9;24.0;0.0;-
13 - Marseille Marignane (Provence);18.1;30.5;24.0;0.0;12h36
13 - Salon-de-Provence;17.1;29.1;23.0;0.0;-
14 - Caen Carpiquet;16.2;22.2;19.0;0.2;3h48
14 - Deauville Saint-Gatien;15.0;19.8;17.0;1.2;-
15 - Aurillac;12.1;20.1;16.0;10.1;1h48
16 - Cognac Châteaubernard;16.3;23.5;19.5;2.8;3h30
17 - Chassiron (pointe);16.9;20.0;18.0;3.2;-
17 - La Rochelle aérodrome;17.2;22.0;19.5;0.6;5h06
18 - Avord;14.7;24.3;19.5;0.6;-
18 - Bourges;15.1;24.2;19.5;0.6;2h54
19 - Brive la Gaillarde la Roche;15.4;24.4;19.5;7.1;3h30
19 - Brive la Gaillarde Souillac vallée Dordogne;14.3;22.9;18.5;7.0;-
20 - Ajaccio Campo Dell Oro;18.6;26.8;22.5;0.0;10h12
20 - Alistro Bravonne;20.4;27.8;24.0;0.0;-
20 - Bastia Poretta;19.5;30.1;24.5;0.0;5h18
20 - Calvi Ste Catherine;21.8;28.8;25.0;0.0;-
20 - Cap Pertusato;20.7;22.4;21.5;0.0;-
20 - Figari Sud Corsica;21.7;26.6;24.0;0.0;-
20 - L'Île-Rousse;19.9;26.1;23.0;0.0;-
20 - Solenzara (base aérienne);24.0;28.5;26.0;0.0;0h00
21 - Dijon Longvic;12.1;22.4;17.0;0.4;1h06
22 - Lannion Servel;15.3;19.8;17.5;0.0;-
22 - Ploumanac'h Perros Guirec;15.3;20.3;17.5;0.0*;-
22 - Saint-Brieuc Armor;15.3;20.6;17.5;0.0;8h12
23 - Guéret St Laurent;13.7;23.3;18.5;1.0;4h00
24 - Bergerac Roumanier;16.6;23.5;20.0;3.6;2h30
25 - Besançon Thise;-;-;-;0.0*;-
26 - Montélimar Ancône;15.2;26.1;20.5;0.0;-
27 - Evreux Fauville;15.6;22.6;19.0;0.8;-
28 - Chartres Champol;15.7;22.1;18.5;0.0;4h54
28 - Chateaudun;15.4;24.0;19.5;0.4;4h36
29 - Brest Guipavas;15.5;20.4;17.5;0.2;5h36
29 - Brignogan;-;-;-;-;-
29 - Landivisiau (base navale);-;-;-;0.2;-
29 - Lanveoc Poulmic;15.8;20.4;18.0;0.2;-
29 - Ouessant;15.5;20.3;17.5;0.0;-
29 - Penmarch (pointe);-;-;-;-;-
29 - Ploudalmézeau;14.6;19.9;17.0;0.2;-
29 - Pointe du Raz;-;-;-;0.0*;-
29 - Quimper Pluguffan;16.0;20.7;18.0;0.4;5h48
30 - Mont Aigoual;5.9;12.9;9.0;9.7;-
30 - Nimes Courbessac;16.1;30.2;23.0;0.0;10h42
30 - Nimes Garons;16.2;29.5;22.5;0.0;-
31 - Muret Lherm;17.2;-;-;0.0*;-
31 - Toulouse  Blagnac;17.3;24.1;20.5;0.2;0h48
32 - Auch Lamothe;17.3;23.1;20.0;0.0;0h36
33 - Bordeaux Mérignac;16.8;22.4;19.5;5.2;1h12
33 - Cap Ferret;18.4;23.4;20.5;5.4;-
33 - Cazaux Pond (base aerienne);17.6;22.2;19.5;7.0;-
34 - Béziers Vias;18.2;28.8;23.5;0.8;-
34 - Montpellier Frejorgues Mediterranee;18.6;30.1;24.0;0.0;10h36
34 - Sète;18.7;28.8;23.5;0.0;-
35 - Dinard Pleurtuit;15.1;19.9;17.5;0.6;4h30
35 - Rennes Saint-Jacques;16.5;22.4;19.0;0.0;2h48
36 - Châteauroux Deols;15.1;24.3;19.5;0.6;3h54
37 - Tours St Symphorien;12.1;-;-;0.8*;-
38 - Grenoble Le Versoud;15.0;22.9;18.5;0.6;-
38 - Grenoble St Geoirs;11.4;22.5;16.5;2.2;4h06
39 - Dole Tavaux;11.6;21.7;16.5;0.2;2h18
40 - Biscarosse Parentis;18.0;21.4;19.5;5.4;0h48
40 - Dax Seyresse;16.2;21.3;18.5;8.2;0h06
40 - Mont-De-Marsan (base aérienne);16.8;21.6;19.0;6.2;0h30
41 - Blois Le Breuil;15.4;24.3;19.5;0.6;3h54
41 - Romorantin Pruniers-en-Sologne;15.5;24.0;19.5;0.4;-
42 - Saint Etienne Boutheon;10.9;24.5;17.5;1.2;2h48
43 - Le Puy Loudes;10.7;22.1;16.0;0.2;3h36
44 - Nantes Château-Bougon Atlantique;17.3;23.2;20.0;0.4;3h00
44 - Saint-Nazaire Montoir;17.4;22.4;19.5;0.2;-
45 - Orleans Bricy;15.4;24.3;19.5;0.4;5h06
46 - Gourdon;14.6;22.6;18.5;7.1;2h00
47 - Agen La Garenne;17.4;24.1;20.5;4.8;0h48
48 - Mende Brenoux;10.8;20.4;15.5;1.8;0h12
49 - Angers Beaucouzé;16.9;23.5;20.0;0.0;3h36
49 - Angers Chaumont-d'Anjou Marcé;16.5;23.0;19.5;0.4;-
50 - Cherbourg Maupertus;14.9;20.0;17.0;0.0;7h24
50 - La Hague (cap);15.9;19.3;17.5;0.0;-
51 - Châlons en Champagne Vatry;13.1;23.8;18.0;1.4;-
51 - Reims / Prunay;15.0;23.4;19.0;2.2;3h18
52 - Langres;12.2;20.0;16.0;3.4;2h54
52 - Saint-Dizier Robinson;-;-;-;5.4;3h24
53 - Laval Entrammes;16.4;22.3;19.0;0.6;3h24
54 - Nancy Essey;13.4;21.3;17.0;1.2;1h54
54 - Nancy Ochey;12.2;21.0;16.5;0.8;-
56 - Belle Ile Le Talut;16.5;20.0;18.0;0.0;-
56 - Ile de Groix - Beg Melen;16.0;18.6;17.0;0.2;-
56 - Lorient Lann Bihoue;15.3;20.0;17.5;0.2;5h24
57 - Metz-Nancy-Lorraine;14.3;20.9;17.5;1.2;2h42
58 - Nevers Fourchambault;14.5;25.2;19.5;1.0;5h06
59 - Dunkerque;16.3;21.4;18.5;0.6;-
59 - Lille Lesquin;16.1;21.4;18.5;1.2;-
60 - Beauvais Tillé;15.6;22.0;18.5;0.4;5h12
61 - Alençon Valframbert;15.9;22.1;19.0;0.0;3h48
62 - Boulogne sur mer;15.4;18.0;16.5;0.2;-
62 - Le Touquet / Côte d'Opale;16.0;19.3;17.5;0.2;6h24
63 - Clermont Ferrand Aulnat;14.3;25.6;19.5;0.0;5h24
64 - Biarritz Anglet;16.2;21.0;18.5;8.8;0h00
64 - Pau Pont-Long-Uzein;15.8;21.0;18.0;0.8;0h00
64 - Socoa;17.7;22.5;20.0;8.0;-
65 - Tarbes Ossun;15.3;21.7;18.5;0.0;0h30
66 - Cap Béar;19.2;28.0;23.5;0.0;-
66 - Perpignan Rivesalte;19.2;29.5;24.0;0.0;8h12
67 - Strasbourg Entzheim;11.4;22.8;17.0;0.6;3h48
68 - Bâle Mulhouse;15.5;22.6;19.0;0.2;-
69 - Lyon Bron;12.2;24.5;18.0;4.0;1h36
69 - Lyon St Exupéry;13.5;23.1;18.0;1.0;-
70 - Luxeuil St Sauveur;11.9;-;-;0.4*;-
71 - Macon Charnay;13.5;21.5;17.5;5.4;1h48
71 - Saint Yan;13.9;23.8;18.5;11.0*;-
72 - Le Mans Arnage;16.7;23.3;20.0;0.4;2h54
73 - Bourg-Saint-Maurice;12.0;22.1;17.0;0.0;-
73 - Chambéry Aix les Bains;14.1;24.2;19.0;0.8;3h48
74 - Annecy Meythet;13.6;22.2;17.5;0.8;-
75 - Paris Montsouris;16.5;23.5;20.0;0.4;4h54
76 - Dieppe;15.7;18.7;17.0;0.2;-
76 - Le Havre Cap de la Hève;15.6;19.1;17.0;0.4;-
76 - Le Havre-Octeville;15.7;18.7;17.0;0.6;4h30
76 - Rouen Boos;15.3;20.0;17.5;1.8;4h06
77 - Melun Villaroche;15.5;24.6;20.0;0.6;5h00
78 - Toussus Le Noble;15.6;24.0;19.5;0.2;-
78 - Trappes;15.3;22.2;18.5;0.2;0h06
79 - Niort Souche;16.4;23.5;19.5;0.2;3h42
80 - Abbeville;15.8;19.5;17.5;0.2;-
80 - Albert Bray;15.3;21.0;18.0;0.8;-
81 - Albi Le Sequestre;15.8;23.1;19.0;7.8;0h06
82 - Montauban  Lamothe-Capdeville;16.8;24.0;20.0;1.6;0h12
83 - Cap Cepet;-;-;-;-;-
83 - Hyeres Le Palivestre;17.7;31.5;24.5;0.0;-
