Station;Temperature mini;Temperature maxi;Temperature mini moy.;Temperature maxi moy.;Temperature moy.;Precipitations;Ensoleillement;
01 - Ambérieu;-0.3;26.7;7.7;17.7;12.7;77.0;140h00
02 - Saint-Quentin Roupy;-0.8;25.1;7.2;17.4;12.3;32.0;168h00
03 - Vichy Charmeil;0.3;29.1;7.2;19.5;13.4;51.7;161h00
04 - St-Auban-sur-Durance Château-Arnoux;0.3;27.1;10.1;20.7;15.4;245.7;161h00
05 - Embrun;0.6;25.4;8.5;19.8;14.2;89.6;168h00
06 - Cannes Mandelieu;5.8;27.5;13.4;23.0;18.2;296.2;-
06 - Nice Côte D'Azur;7.1;26.0;15.8;22.4;19.1;188.2;186h00
07 - Aubenas  Lanas;2.3;26.1;10.8;20.2;15.5;230.4;-
08 - Charleville Mézières;-3.1;25.5;4.6;17.9;11.3;65.3;169h00
09 - Saint-Girons Antichan;-0.7;28.4;7.4;19.3;13.4;80.2;165h00
10 - Troyes Barberey;0.3;27.1;6.7;19.1;12.9;31.0;182h00
11 - Carcassonne Salvaza;1.2;26.5;12.3;19.3;15.8;238.4;135h00
11 - Leucate-Plage;5.7;25.6;14.9;20.3;17.6;235.2;-
12 - Millau;-0.1;23.7;8.9;16.6;12.8;85.0;144h00
12 - Rodez Marcillac;0.2;25.0;7.9;17.7;12.8;67.4;178h00
13 - Istres Le Tube (base aérienne);4.1;26.8;13.1;21.6;17.4;219.9;-
13 - Marseille Marignane (Provence);5.9;27.4;12.8;22.1;17.5;263.0;185h00
13 - Salon-de-Provence;3.3;27.6;11.4;21.4;16.4;199.7;-
14 - Caen Carpiquet;-0.1;25.7;8.2;17.8;13.0;115.4;168h00
14 - Deauville Saint-Gatien;1.0;24.4;8.9;17.0;13.0;87.7;-
15 - Aurillac;-0.1;24.5;6.8;18.6;12.7;46.9;186h00
16 - Cognac Châteaubernard;2.1;28.4;9.9;20.2;15.1;67.3;183h00
17 - Chassiron (pointe);4.5;25.8;12.3;17.9;15.1;22.2;-
17 - La Rochelle aérodrome;2.6;26.4;10.5;19.7;15.1;43.0;192h00
18 - Avord;0.1;28.6;8.5;19.8;14.2;33.9;-
18 - Bourges;0.3;28.8;8.5;20.2;14.4;41.5;181h00
19 - Brive la Gaillarde la Roche;1.2;29.5;8.5;22.0;15.3;48.2;183h00
20 - Ajaccio Campo Dell Oro;8.3;27.7;13.4;24.4;18.9;158.2;196h00
20 - Alistro Bravonne;10.3;28.8;15.8;23.4;19.6;248.5;-
20 - Bastia Poretta;9.4;26.1;13.7;22.6;18.2;302.3;185h00
20 - Calvi Ste Catherine;9.2;29.1;13.5;23.6;18.6;173.9;-
20 - Cap Corse;11.4;24.5;16.9;22.1;19.5;47.9;-
20 - Cap Pertusato;13.0;25.2;17.0;22.8;19.9;74.9;-
20 - Figari Sud Corsica;3.1;26.6;12.5;24.1;18.3;76.9;-
20 - L'Île-Rousse;9.8;26.4;16.6;22.3;19.5;106.8;-
20 - Solenzara (base aérienne);10.9;26.5;15.0;22.4;18.7;213.9;183h00
21 - Dijon Longvic;-0.8;25.4;7.7;18.3;13.0;40.9;162h00
22 - Lannion Servel;-0.3;23.8;8.5;16.6;12.6;133.1;-
22 - Ploumanac'h Perros Guirec;4.8;24.4;11.1;16.6;13.9;129.3;-
22 - Saint-Brieuc Armor;1.9;23.5;8.6;16.1;12.4;104.1;146h00
23 - Guéret St Laurent;-2.6;27.2;5.2;19.5;12.4;28.1;169h00
24 - Bergerac Roumanier;0.4;28.7;7.9;20.9;14.4;62.5;184h00
25 - Besançon Thise;0.7;26.4;7.9;18.4;13.2;22.0;166h00
26 - Montélimar Ancône;3.5;27.1;12.1;20.2;16.2;158.0;158h00
27 - Evreux Fauville;0.2;25.2;7.7;17.8;12.8;41.0;-
28 - Chartres Champol;0.8;25.8;8.1;18.5;13.3;32.7;171h00
28 - Chateaudun;-0.1;26.9;7.4;19.5;13.5;31.0;179h00
29 - Brest Guipavas;-0.8;22.5;8.1;16.4;12.3;123.1;122h00
29 - Brignogan;0.0;0.0;0.0;0.0;0.0;0.0;-
29 - Ouessant;5.3;19.3;10.8;15.2;13.0;78.4;-
29 - Quimper Pluguffan;0.4;23.2;8.3;17.1;12.7;63.0;177h00
30 - Mont Aigoual;-5.1;16.8;5.4;10.0;7.7;599.9;-
30 - Nimes Courbessac;3.1;28.0;12.8;21.9;17.4;190.2;160h00
30 - Nimes Garons;5.4;27.5;12.8;21.3;17.1;222.6;-
31 - Muret Lherm;-0.1;27.7;10.2;19.2;14.7;70.5;-
31 - Toulouse  Blagnac;2.0;27.4;11.5;19.5;15.5;54.2;143h00
32 - Auch Lamothe;0.6;28.5;9.8;19.8;14.8;60.0;142h00
33 - Bordeaux Mérignac;2.9;29.5;10.4;20.2;15.3;62.5;96h00
33 - Cap Ferret;4.3;27.5;11.5;19.3;15.4;40.1;-
34 - Béziers Vias;3.0;27.7;12.7;21.3;17.0;197.4;-
34 - Montpellier Frejorgues Mediterranee;3.6;27.2;12.7;21.6;17.2;147.6;154h00
34 - Sète;5.1;27.1;14.6;20.2;17.4;170.5;-
35 - Dinard Pleurtuit;2.9;25.0;9.4;17.0;13.2;61.9;160h00
35 - Rennes Saint-Jacques;2.2;26.5;8.2;18.6;13.4;82.9;174h00
36 - Châteauroux Deols;-0.4;29.5;7.6;20.0;13.8;34.9;178h00
37 - Tours St Symphorien;2.6;27.0;8.9;19.6;14.3;31.8;173h00
38 - Grenoble Le Versoud;2.3;26.6;7.5;19.8;13.7;87.4;-
38 - Grenoble St Geoirs;0.1;25.2;7.2;18.2;12.7;98.9;181h00
39 - Dole Tavaux;0.4;26.3;8.0;18.5;13.3;36.3;159h00
40 - Biscarosse Parentis;4.2;29.0;11.4;19.4;15.4;39.7;163h00
40 - Dax Seyresse;3.9;30.3;10.0;20.6;15.3;57.8;128h00
40 - Mont-De-Marsan (base aérienne);0.5;29.9;8.6;20.2;14.4;50.4;151h00
41 - Blois Le Breuil;0.3;26.7;8.1;19.6;13.9;41.1;182h00
41 - Romorantin Pruniers-en-Sologne;-4.1;29.0;6.2;21.3;13.8;20.3;-
42 - Saint Etienne Boutheon;-0.3;27.4;6.8;18.6;12.7;82.0;160h00
43 - Le Puy Loudes;-0.6;23.2;5.3;15.7;10.5;69.6;153h00
44 - Saint-Nazaire Montoir;0.3;24.4;8.9;18.8;13.9;25.2;-
45 - Orleans Bricy;-0.1;27.4;7.8;19.8;13.8;26.9;183h00
46 - Gourdon;1.8;28.6;9.3;20.1;14.7;71.2;176h00
47 - Agen La Garenne;1.7;29.1;9.6;20.3;15.0;64.9;149h00
48 - Mende Brenoux;-1.4;24.4;7.3;16.2;11.8;104.6;145h00
49 - Angers Beaucouzé;1.5;27.1;8.8;18.9;13.9;80.1;168h00
50 - Cherbourg Maupertus;2.3;23.6;9.3;16.2;12.8;87.9;142h00
50 - La Hague (cap);9.6;21.0;12.6;16.3;14.5;54.6;-
51 - Châlons en Champagne Vatry;0.3;25.8;7.1;18.2;12.7;25.5;-
51 - Reims / Prunay;-0.1;25.9;6.5;18.7;12.6;28.0;182h00
52 - Langres;-0.3;25.1;7.7;17.0;12.4;21.2;170h00
52 - Saint-Dizier Robinson;0.5;27.5;6.9;19.3;13.1;16.8;163h00
53 - Laval Entrammes;1.8;24.7;8.6;18.2;13.4;50.8;165h00
54 - Nancy Essey;-1.0;27.1;6.4;18.8;12.6;7.4;165h00
54 - Nancy Ochey;1.4;25.6;7.1;17.6;12.4;17.4;-
56 - Belle Ile Le Talut;4.8;20.6;11.1;16.9;14.0;32.0;-
56 - Ile de Groix - Beg Melen;5.0;22.6;10.9;17.5;14.2;34.2;-
56 - Lorient Lann Bihoue;0.7;22.8;8.4;17.8;13.1;31.6;183h00
57 - Metz-Nancy-Lorraine;1.9;26.1;7.6;18.4;13.0;11.8;167h00
58 - Nevers Fourchambault;-0.2;29.4;6.4;19.9;13.2;46.1;176h00
59 - Dunkerque;4.4;25.7;11.3;17.4;14.4;49.1;-
59 - Lille Lesquin;1.3;24.7;8.3;17.7;13.0;48.1;37h00
60 - Beauvais Tillé;-0.8;24.9;6.7;18.1;12.4;27.1;164h00
60 - Creil (base aérienne);-1.8;26.4;7.5;18.5;13.0;26.2;169h00
61 - Alençon Valframbert;-0.5;25.1;7.3;17.8;12.6;40.2;167h00
62 - Boulogne sur mer;2.6;24.9;11.0;16.5;13.8;48.7;-
62 - Le Touquet / Côte d'Opale;2.1;25.0;8.8;17.5;13.2;35.9;174h00
63 - Clermont Ferrand Aulnat;0.8;28.4;7.9;19.0;13.5;29.9;178h00
64 - Biarritz Anglet;4.3;29.6;11.0;19.4;15.2;82.5;143h00
64 - Pau Pont-Long-Uzein;2.1;29.4;9.2;19.4;14.3;87.6;144h00
64 - Socoa;4.7;30.0;11.9;20.0;16.0;121.2;-
65 - Tarbes Ossun;-0.8;28.4;7.7;19.2;13.5;89.1;169h00
66 - Cap Béar;6.7;24.1;15.0;19.8;17.4;219.7;-
66 - Perpignan Rivesalte;4.6;27.1;14.1;21.6;17.9;297.6;-
67 - Strasbourg Entzheim;1.2;27.4;6.5;18.8;12.7;16.8;165h00
68 - Bâle Mulhouse;-2.5;26.6;6.2;18.3;12.3;36.7;-
69 - Lyon Bron;1.5;27.1;10.1;18.9;14.5;96.0;159h00
69 - Lyon St Exupéry;0.6;26.5;9.7;18.1;13.9;80.9;-
70 - Luxeuil St Sauveur;-1.2;27.4;4.9;18.9;11.9;21.8;159h00
71 - Macon Charnay;1.2;27.2;9.6;18.6;14.1;77.8;148h00
71 - Saint Yan;-0.4;28.8;6.8;19.2;13.0;56.4;-
72 - Le Mans Arnage;-1.3;26.5;8.4;19.2;13.8;42.5;159h00
73 - Bourg-Saint-Maurice;0.1;25.9;6.7;19.7;13.2;62.1;179h00
73 - Chambéry Aix les Bains;1.3;24.0;7.6;19.2;13.4;75.5;162h00
74 - Annecy Meythet;1.2;24.9;6.8;18.8;12.8;50.5;-
75 - Paris Montsouris;3.4;27.2;10.6;18.9;14.8;22.1;176h00
76 - Dieppe;2.6;25.0;9.8;17.6;13.7;41.4;-
76 - Le Havre Cap de la Hève;3.4;23.4;11.2;16.7;14.0;69.7;-
76 - Le Havre-Octeville;2.9;24.5;10.0;17.0;13.5;66.2;-
76 - Rouen Boos;0.0;24.6;7.9;17.9;12.9;26.3;158h00
77 - Melun Villaroche;0.4;27.2;8.3;19.3;13.8;15.5;172h00
78 - Toussus Le Noble;0.8;25.8;8.2;18.3;13.3;26.1;-
78 - Trappes;2.2;25.4;8.8;18.3;13.6;28.4;157h00
79 - Niort Souche;0.4;27.6;9.5;19.6;14.6;78.2;176h00
80 - Abbeville;0.8;24.6;8.2;17.5;12.9;33.6;158h00
80 - Albert Bray;0.7;24.6;7.8;17.3;12.6;33.6;-
81 - Albi Le Sequestre;3.5;28.1;10.3;19.4;14.9;122.4;140h00
82 - Montauban  Lamothe-Capdeville;3.1;29.2;10.1;20.1;15.1;93.5;159h00
83 - Cap Cepet;5.7;26.0;14.7;21.7;18.2;258.7;-
83 - Hyeres Le Palivestre;4.9;26.1;14.0;22.3;18.2;252.9;-
83 - Le Luc Le Cannet;5.9;28.9;12.0;23.2;17.6;552.5;174h00
84 - Avignon;4.6;27.9;11.6;21.0;16.3;178.1;-
84 - Carpentras;2.5;28.3;10.6;21.6;16.1;179.5;173h00
84 - Orange Caritat;3.4;27.3;11.7;20.6;16.2;190.5;-
85 - L'Ile d'Yeu - Saint Sauveur;4.1;23.3;11.1;17.5;14.3;21.5;-
85 - La Roche sur Yon Les Ajoncs;0.7;26.1;8.7;19.0;13.9;25.7;181h00
86 - Poitiers Biard;1.5;27.3;8.9;19.4;14.2;49.6;174h00
87 - Limoges Bellegarde;0.4;25.7;9.8;18.7;14.3;31.5;185h00
